source_id,source_name,source_type,iso3_country,sector,subsector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,co2e_100yr,1000.0,annual,1000,MWh,,,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,co2e_20yr,1000.0,annual,1000,MWh,,,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,n2o,,annual,1000,MWh,,field_not_modeled,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,ch4,,annual,1000,MWh,,field_not_modeled,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,co2,1000.0,annual,1000,MWh,1.0,T of CO2 per MWh,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,co2e_100yr,1000.0,annual,1000,MWh,,,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,co2e_20yr,1000.0,annual,1000,MWh,,,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25452558,Kakira Sugar power station,"biomass, oil",UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.44,33.2,trace_33.2_0.44,n2o,,annual,1000,MWh,,field_not_modeled,2,MW,0.057,a,capacity_factor_methodology,56.0,biomass_emissions,76000.0,biomass_capacity,124000.0,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,ch4,,annual,12000,MWh,,field_not_modeled,50,MW,0.027,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2,10000.0,annual,12000,MWh,0.833,T of CO2 per MWh,50,MW,0.027,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_100yr,10000.0,annual,12000,MWh,,,50,MW,0.027,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_20yr,10000.0,annual,12000,MWh,,,50,MW,0.027,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,n2o,,annual,12000,MWh,,field_not_modeled,50,MW,0.027,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,ch4,,annual,16000,MWh,,field_not_modeled,50,MW,0.036,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2,14000.0,annual,16000,MWh,0.875,T of CO2 per MWh,50,MW,0.036,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_100yr,14000.0,annual,16000,MWh,,,50,MW,0.036,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_20yr,14000.0,annual,16000,MWh,,,50,MW,0.036,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,n2o,,annual,16000,MWh,,field_not_modeled,50,MW,0.036,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,ch4,,annual,17000,MWh,,field_not_modeled,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2,14000.0,annual,17000,MWh,0.824,T of CO2 per MWh,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_100yr,14000.0,annual,17000,MWh,,,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_20yr,14000.0,annual,17000,MWh,,,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,n2o,,annual,17000,MWh,,field_not_modeled,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,ch4,,annual,17000,MWh,,field_not_modeled,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2,14000.0,annual,17000,MWh,0.824,T of CO2 per MWh,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_100yr,14000.0,annual,17000,MWh,,,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,co2e_20yr,14000.0,annual,17000,MWh,,,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
25453576,Lugogo Substation,oil,UGA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,0.358,32.694,trace_32.694_0.358,n2o,,annual,17000,MWh,,field_not_modeled,50,MW,0.039,a,capacity_factor_methodology,,biomass_emissions,,biomass_capacity,,biomass_generation,,,,,,,,,,,,,2023-10-31 00:00:00,2023-11-01 10:00:00
