GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2
NGA,Nigeria,NGA.1_1,Abia,Aba North,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Aba South,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Arochukwu,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Bende,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Ikwuano,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Isiala Ngwa North,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Isiala Ngwa South,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Isuikwuato,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Obi Ngwa,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Ohafia,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Osisioma Ngwa,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Ugwunagbo,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Ukwa East,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Ukwa West,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Umu Nneochi,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Umuahia North,Local Authority,Local Authority
NGA,Nigeria,NGA.1_1,Abia,Umuahia South,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Demsa,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Fufore,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Ganye,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Girie,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Gombi,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Guyuk,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Hong,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Jada,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Lamurde,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Madagali,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Maiha,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Mayo-Belwa,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Michika,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Mubi North,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Mubi South,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Numan,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Shelleng,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Song,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Teungo,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Yola North,Local Authority,Local Authority
NGA,Nigeria,NGA.2_1,Adamawa,Yola South,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Abak,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Eastern Obolo,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Eket,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Esit Eket,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Essien Udim,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Etim Ekpo,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Etinan,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ibeno,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ibesikpo Asutan,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ibiono Ibom,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ika,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ikono,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ikot Abasi,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ikot Ekpene,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ini,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Itu,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Mbo,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Mkpat Enin,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Nsit Atai,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Nsit Ibom,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Nsit Ubium,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Obot Akara,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Okobo,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Onna,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Oron,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Oruk Anam,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Udung Uko,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Ukanafun,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Uruan,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Urue Offong,Local Authority,Local Authority
NGA,Nigeria,NGA.3_1,Akwa Ibom,Uyo,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Aguata,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Anambra East,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Anambra West,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Anaocha,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Awka North,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Awka South,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Ayamelum,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Dunukofia,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Ekwusigo,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Idemili North,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Idemili South,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Ihiala,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Njikoka,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Nnewi North,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Nnewi South,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Ogbaru,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Onitsha North,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Onitsha South,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Orumba North,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Orumba South,Local Authority,Local Authority
NGA,Nigeria,NGA.4_1,Anambra,Oyi,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Alkaleri,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Bauchi,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Bogoro,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Damban,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Darazo,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Dass,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Gamawa,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Ganjuwa,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Giade,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Itas/Gadau,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Jama'are,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Katagum,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Kirfi,Local Authority,Local Authority
NGA,Nigeria,NGA.5_1,Bauchi,Misau,Local Authority,Local Authority
