id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity,capacity_u,activity,activity_u,source_nam,source_typ,lat,lon,other1,other2,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_de
44,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
45,IND,solid-waste-disposal,annual,co2e_100yr,116911.67,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
46,IND,solid-waste-disposal,annual,co2e_20yr,350735.02,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
47,IND,solid-waste-disposal,annual,co2,0,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
48,IND,solid-waste-disposal,annual,ch4,4175.42,0.049057,T of CO2 per T of waste,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
49,IND,solid-waste-disposal,annual,n2o,0,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
50,IND,solid-waste-disposal,annual,co2e_100yr,116911.67,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
51,IND,solid-waste-disposal,annual,co2e_20yr,350735.02,0,,0,m2,85113.43,T of waste,OpenStreetMap Landfill,,25.19760546,87.66314084,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
52,BGD,solid-waste-disposal,annual,co2,0,0,,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
53,BGD,solid-waste-disposal,annual,ch4,13506.95,0.046725,T of CO2 per T of waste,0,m2,289072.51,T of waste,OpenStreetMap Landfill,,23.79789347,90.30034971,METER/OSM,,modeled,2022,Active,,,0,0,metadata_source,landfill_area_source,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place
